"","origin_name","link","avg_pct_benchmark"
"1","Airport - Blue Line - Bowdoin","place-aport|place-mvbcl",1.1
"2","Airport - Blue Line - Wonderland","place-aport|place-wimnl",0.5
"3","Alewife - Red Line","place-alfcl|place-davis",1.01388888888889
"4","Allston Street - Green Line - (B) Boston College","place-alsgr|place-wrnst",0.25
"5","Allston Street - Green Line - Park Street & North","place-alsgr|place-grigg",0.438888888888889
"6","Andrew - Red Line - Alewife","place-andrw|place-brdwy",1.275
"7","Andrew - Red Line - Ashmont/Braintree","place-andrw|place-jfk",1.16666666666667
"8","Aquarium - Blue Line - Bowdoin","place-aqucl|place-state",0.258333333333333
"9","Aquarium - Blue Line - Wonderland","place-aqucl|place-mvbcl",0.62
"10","Arlington - Green Line - Copley & West","place-armnl|place-coecl",0.424242424242424
"11","Arlington - Green Line - Park Street & North","place-armnl|place-boyls",1.11728395061728
"12","Assembly - Orange Line - Forest Hills","place-astao|place-sull",0.461111111111111
"13","Assembly - Orange Line - Oak Grove","place-astao|place-welln",0.75
"14","Babcock Street - Green Line - (B) Boston College","place-babck|place-brico",0.5
"15","Babcock Street - Green Line - Park Street & North","place-babck|place-plsgr",0.2
"16","Back Bay - Orange Line - Forest Hills","place-bbsta|place-masta",1.26944444444444
"17","Back Bay - Orange Line - Oak Grove","place-bbsta|place-tumnl",0.433333333333333
"18","Beachmont - Blue Line - Bowdoin","place-bmmnl|place-sdmnl",0.345833333333333
"19","Beachmont - Blue Line - Wonderland","place-bmmnl|place-rbmnl",0.441666666666667
"20","Beaconsfield - Green Line - (D) Riverside","place-bcnfd|place-rsmnl",0.516666666666667
"21","Beaconsfield - Green Line - Park Street & North","place-bcnfd|place-brkhl",0.533333333333333
"22","Blandford Street - Green Line - (B) Boston College","place-bland|place-buest",0.4
"23","Blandford Street - Green Line - Park Street & North","place-bland|place-kencl",0.441666666666667
"24","Boston College - Green Line - Park Street & North","place-lake|place-sougr",0.625
"25","Boston University Central - Green Line - (B) Boston College","place-bucen|place-buwst",0.379166666666667
"26","Boston University Central - Green Line - Park Street & North","place-bucen|place-buest",0.55
"27","Boston University East - Green Line - (B) Boston College","place-buest|place-bucen",0.7
"28","Boston University East - Green Line - Park Street & North","place-buest|place-bland",0.5
"29","Boston University West - Green Line - (B) Boston College","place-buwst|place-stplb",0.1
"30","Boston University West - Green Line - Park Street & North","place-buwst|place-bucen",0.377083333333333
"31","Bowdoin - Blue Line - Wonderland","place-bomnl|place-gover",0.283333333333333
"32","Boylston - Green Line - Copley & West","place-boyls|place-armnl",0.783333333333333
"33","Boylston - Green Line - Park Street & North","place-boyls|place-pktrm",0.478703703703704
"34","Brandon Hall - Green Line - (C) Cleveland Circle","place-bndhl|place-fbkst",0.25
"35","Brandon Hall - Green Line - Park Street & North","place-bndhl|place-sumav",0.2
"36","Brigham Circle - Green Line - (E) Heath Street","place-brmnl|place-fenwd",0.2
"37","Brigham Circle - Green Line - Park Street & North","place-brmnl|place-lngmd",0.283333333333333
"38","Broadway - Red Line - Ashmont/Braintree","place-brdwy|place-andrw",1.55625
"39","Brookline Hills - Green Line - (D) Riverside","place-brkhl|place-bcnfd",0.502777777777778
"40","Brookline Hills - Green Line - Park Street & North","place-brkhl|place-bvmnl",0.35
"41","Brookline Village - Green Line - (D) Riverside","place-bvmnl|place-brkhl",0.505555555555556
"42","Brookline Village - Green Line - Park Street & North","place-bvmnl|place-longw",0.625
"43","Central - Red Line - Alewife","place-cntsq|place-harsq",0.53
"44","Central - Red Line - Ashmont/Braintree","place-cntsq|place-knncl",0.633333333333333
"45","Charles/MGH - Red Line - Alewife","place-chmnl|place-knncl",1.03333333333333
"46","Charles/MGH - Red Line - Ashmont/Braintree","place-chmnl|place-pktrm",0.330555555555556
"47","Chestnut Hill - Green Line - (D) Riverside","place-chhil|place-newto",0.733333333333333
"48","Chestnut Hill - Green Line - Park Street & North","place-chhil|place-rsmnl",0.611111111111111
"49","Chestnut Hill Avenue - Green Line - (B) Boston College","place-chill|place-sougr",0.808333333333333
"50","Chestnut Hill Avenue - Green Line - Park Street & North","place-chill|place-chswk",0.275
"51","Chinatown - Orange Line - Forest Hills","place-chncl|place-tumnl",0.533333333333333
"52","Chiswick Road - Green Line - (B) Boston College","place-chswk|place-chill",0.4
"53","Chiswick Road - Green Line - Park Street & North","place-chswk|place-sthld",0.25
"54","Community College - Orange Line - Forest Hills","place-ccmnl|place-north",0.959259259259259
"55","Community College - Orange Line - Oak Grove","place-ccmnl|place-sull",0.958333333333333
"56","Coolidge Corner - Green Line - Park Street & North","place-cool|place-stpul",0.329166666666667
"57","Copley - Green Line - Kenmore & West/Heath Street","place-coecl|place-hymnl",0.610353535353535
"58","Copley - Green Line - Park Street & North","place-coecl|place-armnl",0.6025
"59","Davis - Red Line - Ashmont/Braintree","place-davis|place-portr",0.544444444444444
"60","Dean Road - Green Line - Park Street & North","place-denrd|place-tapst",0.3
"61","Downtown Crossing - Orange Line - Forest Hills","place-dwnxg|place-chncl",0.270833333333333
"62","Downtown Crossing - Orange Line - Oak Grove","place-dwnxg|place-state",0.425
"63","Downtown Crossing - Red Line - Ashmont/Braintree","place-dwnxg|place-sstat",0.210416666666667
"64","Eliot - Green Line - (D) Riverside","place-eliot|place-waban",0.933333333333333
"65","Eliot - Green Line - Park Street & North","place-eliot|place-newtn",1.01666666666667
"66","Englewood Avenue - Green Line - Park Street & North","place-engav|place-denrd",0.1
"67","Fairbanks Street - Green Line - (C) Cleveland Circle","place-fbkst|place-bcnwa",0.3
"68","Fenway - Green Line - Park Street & North","place-fenwy|place-kencl",0.339583333333333
"69","Fenwood Road - Green Line - (E) Heath Street","place-fenwd|place-mispk",0.333333333333333
"70","Fenwood Road - Green Line - Park Street & North","place-fenwd|place-brmnl",0.4
"71","Fields Corner - Red Line - Alewife","place-fldcr|place-shmnl",0.522222222222222
"72","Fields Corner - Red Line - Ashmont","place-fldcr|place-smmnl",0.383333333333333
"73","Forest Hills - Orange Line","place-forhl|place-grnst",1.59166666666667
"74","Government Center - Blue Line - Wonderland","place-gover|place-state",0.558333333333333
"75","Government Center - Green Line - Copley & West","place-gover|place-pktrm",1.01865079365079
"76","Government Center - Green Line - North Station & North","place-gover|place-haecl",0.502083333333333
"77","Green Street - Orange Line - Oak Grove","place-grnst|place-sbmnl",0.575
"78","Griggs Street - Green Line - (B) Boston College","place-grigg|place-alsgr",0.405555555555556
"79","Griggs Street - Green Line - Park Street & North","place-grigg|place-harvd",0.25
"80","Harvard - Red Line - Alewife","place-harsq|place-portr",0.891666666666667
"81","Harvard - Red Line - Ashmont/Braintree","place-harsq|place-cntsq",0.69375
"82","Harvard Avenue - Green Line - (B) Boston College","place-harvd|place-grigg",0.466666666666667
"83","Hawes Street - Green Line - (C) Cleveland Circle","place-hwsst|place-kntst",0.0833333333333333
"84","Hawes Street - Green Line - Park Street & North","place-hwsst|place-smary",0.4
"85","Haymarket - Green Line - Copley & West","place-haecl|place-gover",0.588333333333333
"86","Haymarket - Green Line - North Station & North","place-haecl|place-north",0.583333333333333
"87","Haymarket - Orange Line - Forest Hills","place-haecl|place-state",0.404166666666667
"88","Haymarket - Orange Line - Oak Grove","place-haecl|place-north",0.225
"89","Hynes Convention Center - Green Line - Kenmore & West","place-hymnl|place-kencl",0.87037037037037
"90","Hynes Convention Center - Green Line - Park Street & North","place-hymnl|place-coecl",0.541071428571429
"91","Jackson Square - Orange Line - Forest Hills","place-jaksn|place-sbmnl",0.608333333333333
"92","Jackson Square - Orange Line - Oak Grove","place-jaksn|place-rcmnl",0.561111111111111
"93","JFK/UMass - Red Line - Alewife (from Ashmont)","place-jfk|place-andrw",1.40555555555556
"94","JFK/UMass - Red Line - Alewife (from Braintree)","place-jfk|place-andrw",1.21666666666667
"95","JFK/UMass - Red Line - Ashmont","place-jfk|place-shmnl",0.7125
"96","Kendall/MIT - Red Line - Alewife","place-knncl|place-cntsq",0.546296296296296
"97","Kendall/MIT - Red Line - Ashmont/Braintree","place-knncl|place-chmnl",1.08888888888889
"98","Kenmore - Green Line - Boston College/Cleveland Circle/Riverside","place-kencl|place-bland",0.618253968253968
"99","Kenmore - Green Line - Park Street & North","place-kencl|place-hymnl",0.735714285714286
"100","Kent Street - Green Line - (C) Cleveland Circle","place-kntst|place-stpul",0.341666666666667
"101","Kent Street - Green Line - Park Street & North","place-kntst|place-hwsst",0.5
"102","Lechmere - Green Line - Copley & West","place-lech|place-spmnl",0.658333333333333
"103","Longwood - Green Line - (D) Riverside","place-longw|place-bvmnl",0.65
"104","Longwood Medical Area - Green Line - (E) Heath Street","place-lngmd|place-brmnl",0.5
"105","Longwood Medical Area - Green Line - Park Street & North","place-lngmd|place-mfa",0.8
"106","Malden Center - Orange Line - Forest Hills","place-mlmnl|place-welln",0.76875
"107","Massachusetts Avenue - Orange Line - Forest Hills","place-masta|place-rugg",2.31111111111111
"108","Massachusetts Avenue - Orange Line - Oak Grove","place-masta|place-bbsta",0.525
"109","Maverick - Blue Line - Bowdoin","place-mvbcl|place-aqucl",0.736111111111111
"110","Maverick - Blue Line - Wonderland","place-mvbcl|place-aport",0.985
"111","Mission Park - Green Line - (E) Heath Street","place-mispk|place-rvrwy",0.6
"112","Mission Park - Green Line - Park Street & North","place-mispk|place-fenwd",0.316666666666667
"113","Museum of Fine Arts - Green Line - (E) Heath Street","place-mfa|place-lngmd",0.316666666666667
"114","Museum of Fine Arts - Green Line - Park Street & North","place-mfa|place-nuniv",0.325
"115","Newton Centre - Green Line - (D) Riverside","place-newto|place-newtn",0.544444444444444
"116","Newton Centre - Green Line - Park Street & North","place-newto|place-chhil",0.634722222222222
"117","Newton Highlands - Green Line - (D) Riverside","place-newtn|place-eliot",1.22222222222222
"118","Newton Highlands - Green Line - Park Street & North","place-newtn|place-newto",0.455555555555556
"119","North Quincy - Red Line - Alewife","place-nqncy|place-jfk",0.846296296296296
"120","North Quincy - Red Line - Braintree","place-nqncy|place-wlsta",0.641666666666667
"121","North Station - Green Line - Copley & West","place-north|place-haecl",0.528333333333333
"122","North Station - Green Line - Lechmere","place-north|place-spmnl",0.652777777777778
"123","North Station - Orange Line - Forest Hills","place-north|place-haecl",0.286111111111111
"124","North Station - Orange Line - Oak Grove","place-north|place-ccmnl",0.808333333333333
"125","Northeastern University - Green Line - (E) Heath Street","place-nuniv|place-mfa",0.412962962962963
"126","Northeastern University - Green Line - Park Street & North","place-nuniv|place-symcl",0.3125
"127","Oak Grove - Orange Line","place-ogmnl|place-mlmnl",0.669444444444444
"128","Orient Heights - Blue Line - Bowdoin","place-orhte|place-wimnl",0.858333333333333
"129","Orient Heights - Blue Line - Wonderland","place-orhte|place-sdmnl",0.9875
"130","Packards Corner - Green Line - Park Street & North","place-brico|place-babck",0.366666666666667
"131","Park Street - Green Line - (B) Boston College","place-pktrm|place-boyls",1.11666666666667
"132","Park Street - Green Line - (C) Cleveland Circle","place-pktrm|place-boyls",0.322222222222222
"133","Park Street - Green Line - (D) Riverside","place-pktrm|place-boyls",0.285185185185185
"134","Park Street - Green Line - (E) Heath Street","place-pktrm|place-boyls",0.253703703703704
"135","Park Street - Green Line - Government Center & North","place-pktrm|place-gover",0.35
"136","Park Street - Red Line - Alewife","place-pktrm|place-chmnl",0.583333333333333
"137","Park Street - Red Line - Ashmont/Braintree","place-pktrm|place-dwnxg",0.15625
"138","Pleasant Street - Green Line - (B) Boston College","place-plsgr|place-babck",1.2
"139","Pleasant Street - Green Line - Park Street & North","place-plsgr|place-stplb",0.133333333333333
"140","Porter - Red Line - Alewife","place-portr|place-davis",0.816666666666667
"141","Porter - Red Line - Ashmont/Braintree","place-portr|place-harsq",0.636111111111111
"142","Prudential - Green Line - (E) Heath Street","place-prmnl|place-symcl",0.691666666666667
"143","Prudential - Green Line - Park Street & North","place-prmnl|place-coecl",0.645833333333333
"144","Quincy Adams - Red Line - Alewife","place-qamnl|place-qnctr",0.844444444444444
"145","Quincy Center - Red Line - Alewife","place-qnctr|place-wlsta",0.494444444444444
"146","Reservoir - Green Line - (D) Riverside","place-rsmnl|place-chhil",0.683333333333333
"147","Reservoir - Green Line - Park Street & North","place-rsmnl|place-bcnfd",0.419444444444444
"148","Revere Beach - Blue Line - Bowdoin","place-rbmnl|place-bmmnl",1.16666666666667
"149","Riverside - Green Line - Park Street & North","place-river|place-woodl",0.75
"150","Riverway - Green Line - Park Street & North","place-rvrwy|place-mispk",0.225
"151","Roxbury Crossing - Orange Line - Forest Hills","place-rcmnl|place-jaksn",0.441666666666667
"152","Roxbury Crossing - Orange Line - Oak Grove","place-rcmnl|place-rugg",1.1
"153","Ruggles - Orange Line - Forest Hills","place-rugg|place-rcmnl",1.25416666666667
"154","Ruggles - Orange Line - Oak Grove","place-rugg|place-masta",0.458333333333333
"155","Saint Marys Street - Green Line - (C) Cleveland Circle","place-smary|place-hwsst",0.808333333333333
"156","Saint Marys Street - Green Line - Park Street & North","place-smary|place-kencl",0.639583333333333
"157","Saint Paul Street - Green Line - (B) Boston College","place-stplb|place-plsgr",0.4
"158","Saint Paul Street - Green Line - (C) Cleveland Circle","place-stpul|place-cool",0.704166666666667
"159","Saint Paul Street - Green Line - Park Street & North","place-stplb|place-buwst",0.279166666666667
"160","Savin Hill - Red Line - Alewife","place-shmnl|place-jfk",0.383333333333333
"161","Savin Hill - Red Line - Ashmont","place-shmnl|place-fldcr",0.75
"162","Science Park - Green Line - Copley & West","place-spmnl|place-north",0.772222222222222
"163","Shawmut - Red Line - Alewife","place-smmnl|place-fldcr",0.566666666666667
"164","South Station - Red Line - Ashmont/Braintree","place-sstat|place-brdwy",0.61875
"165","South Street - Green Line - Park Street & North","place-sougr|place-chill",1.80833333333333
"166","State Street - Blue Line - Bowdoin","place-state|place-gover",0.289583333333333
"167","State Street - Blue Line - Wonderland","place-state|place-aqucl",0.25625
"168","State Street - Orange Line - Forest Hills","place-state|place-dwnxg",0.216666666666667
"169","State Street - Orange Line - Oak Grove","place-state|place-haecl",0.366666666666667
"170","Stony Brook - Orange Line - Forest Hills","place-sbmnl|place-grnst",0.55
"171","Stony Brook - Orange Line - Oak Grove","place-sbmnl|place-jaksn",0.333333333333333
"172","Suffolk Downs - Blue Line - Bowdoin","place-sdmnl|place-orhte",0.458333333333333
"173","Suffolk Downs - Blue Line - Wonderland","place-sdmnl|place-bmmnl",0.354166666666667
"174","Sullivan Square - Orange Line - Forest Hills","place-sull|place-ccmnl",0.619444444444444
"175","Sullivan Square - Orange Line - Oak Grove","place-sull|place-astao",0.333333333333333
"176","Summit Avenue - Green Line - (C) Cleveland Circle","place-sumav|place-bndhl",0.65
"177","Sutherland Road - Green Line - (B) Boston College","place-sthld|place-chswk",0.816666666666667
"178","Symphony - Green Line - (E) Heath Street","place-symcl|place-nuniv",0.413888888888889
"179","Symphony - Green Line - Park Street & North","place-symcl|place-prmnl",0.666666666666667
"180","Tappan Street - Green Line - Park Street & North","place-tapst|place-bcnwa",1.8
"181","Tufts Medical Center - Orange Line - Forest Hills","place-tumnl|place-bbsta",0.795833333333333
"182","Tufts Medical Center - Orange Line - Oak Grove","place-tumnl|place-chncl",0.25
"183","Waban - Green Line - (D) Riverside","place-waban|place-woodl",0.701388888888889
"184","Waban - Green Line - Park Street & North","place-waban|place-eliot",0.705555555555556
"185","Warren Street - Green Line - Park Street & North","place-wrnst|place-alsgr",0.333333333333333
"186","Washington Square - Green Line - (C) Cleveland Circle","place-bcnwa|place-tapst",0.8
"187","Washington Square - Green Line - Park Street & North","place-bcnwa|place-fbkst",0.179166666666667
"188","Wellington - Orange Line - Forest Hills","place-welln|place-astao",0.611111111111111
"189","Wellington - Orange Line - Oak Grove","place-welln|place-mlmnl",0.84375
"190","Wollaston - Red Line - Alewife","place-wlsta|place-nqncy",0.35
"191","Wollaston - Red Line - Braintree","place-wlsta|place-qnctr",0.672222222222222
"192","Wood Island - Blue Line - Bowdoin","place-wimnl|place-aport",0.547222222222222
"193","Wood Island - Blue Line - Wonderland","place-wimnl|place-orhte",2.03541666666667
"194","Woodland - Green Line - Park Street & North","place-woodl|place-waban",0.475925925925926
